상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2
"곰곰 순대국, 600g, 5개",5,싸고 간편하고 맛있어요~!,"온가족이 순대국을 좋아해서
순대국을 자주 사먹으러가요~
근데 남편이 곰곰 순대국이라는
레트로 식품으로된 걸 샀길래(이런거 별로 안좋아함)
이런거 사지말았으면좋겠는데 했어요.
근데 제가 힘들어서 요리 못했을 때
남편이 이걸로 밥 차려주면
애들도 잘먹고 저도 잘먹어요ㅋㅋ
암튼 한팩에 건더기도 많이 들어있고
간도 맛고 맛있네요ㅎㅎ
냉동실에 쟁여놓고 순대국 땡길 때
끓여서 밥말아서 청양고추랑 같이 먹으면 짱♡",식품,면/통조림/가공식품
"하동품애 GAP 설향딸기 중과, 500g, 1팩",4,몇개 무른 거 빼고 대체로 싱싱함,"대체적으로 싱싱한데 약간 무른 게 몇개 있었어요~
딸기가 엄청 달고 맛있는건 다 만원이 훌쩍 넘더라구요.
8천원대 딸기치고 맛있는 편입니다^^
아이 간식으로 싸줬는데
다 먹었더라구요~
재구매 의사 있습니다^^",식품,과일
"로레알파리 드림랭스 샴푸 스윗 프루티 프로럴향, 2개, 410ml",5,거품도 잘나고 향도 고급스럽고 만족♡,"첫째가 초등학교 3학년이 되면서
두피에서 냄새가 나기 시작하더라구요~
어린이 샴푸로는 냄새 제거가 잘 안되서
로레알 샴푸로 감겨봤더니
어린이 삼푸 쓸 때보다 머릿결도 부드럽고
좋은향이 나서 좋습니다.
제가 쓸 때도 한두번 펌핑해도 거품이 잘나서 좋구
향도 뭔가 고급스럽고 따뜻한 느낌의 향이랄까?
암튼 샴푸의 향도 중요하게 생각하는 사람인데
이건 향도 맘에들고 거품도 잘나서 좋아요!
다음에 재구매 의사 있습니다!",싱글라이프,샤워/세안
"남양유업 맛있는 우유 GT, 900ml, 2개",5,언제 먹어도 맛있는 맛있는 우유 GT!,"흰 우유 생으로 못 먹는 저를
가끔 흰우유 한 잔이 생각나게
만들어준 맛있는 우유GT!

어릴 때 학교 우유급식으로
서울우유 200ml받으면
우유 입구를 열자마자 올라오는
소똥 냄새에 구역질을 하던 저였어요.

커서도 흰 우유를 먹을 때는
빵 먹을 때, 씨리얼 먹을 때
뿐이었는데
맛있는 우유GT는 그런
소 특유의구린내가 전혀.1도안나서
넘 고소하고 맛있더라구요!
우유도 이렇게 맛있을 수 있구나
신기했어요.
그뒤로 남편에게도 무조건 우유살 땐
맛있는 우유GT만 사오라고 얘기해요~
맛있는 우유GT짱♡",식품,생수/음료
"서울우유 요구르트, 65ml, 30개",5,사과 마 쥬스 갈아먹을때 요구르트 넣으면 맛있어요!,"재료: 사과 3/4쪽,마50g,참깨 1T,요구르트 3개
넣고 믹서기에 갈아서 마시면
맛도 좋고 건강에도 좋은 쥬스가 완성돼요!

매일 쥬스를 갈아마시는데
요구르트를 편의점에서 사니까
너무 금방금방 다 먹어서
쿠팡으로 5개짜리 6줄 시키니까 30개라
10일동안 걱정 없네요~
유통기한도 1월 17일까지.
2주정도 여유있어서 딱 좋아요!

요구르트병에 인쇄된 글씨도없고
재활용하기도 좋게 만들어져서
환경도 생각하는 제품같아 더 맘에 듭니다^^",식품,유제품/아이스크림
"키즈라인 여아용 파스텔 수면잠옷 상하세트, M(중), 핑크",5,"109cm,20kg 6세.M 좀 크긴하지만 편하대요^^","아이가 잘 때 이불을 자꾸 발로 차서
겨울이라 감기 안 걸리게
따뜻한 기모 잠옷을 사줬어요.
목 부분이 좀 많이 파여보이고
길이도 좀 길지만
시보리 처리가 되어 있어서
바지 밑단이 발목 아래로
흘러내리진 않아요~
배 위로 끌어올려 배바지로 입으면
괜찮아요ㅋㅋ
디자인도 귀엽고 사랑스럽네요.
아이가 맘에 들어해요ㅎㅎ
무엇보다 따뜻해서 이거 입고 잔 뒤로
자면서 애가 이불 안덮고 자도
제가 신경 안 쓰고 그냥 자도되서
너무 좋아요~",출산/유아동,유아동패션
"민화샵 스마트폰 핸드폰 줄 연결 고리 만들기재료 1개 10개, 일반보라색10개입 UCMOC010F",5,색깔도 예쁘고 휴대폰 고리 만들기 딱 좋아요!,"제가 코바늘 떠서
휴대폰 고리나 애들 가방에 악세사리
달아주려고 샀어요!
색깔도 예쁘고
불량품 없이 잘왔습니다!^^",가전디지털,휴대폰 액세서리
"민화샵 스마트폰 핸드폰 줄 연결 고리 만들기재료 1개 10개, 고급검정색 UCMOC0108",5,,,완구/취미,학습완구/교구
"민화샵 스마트폰 핸드폰 줄 연결 고리 만들기재료 1개 10개, 고급빨간색 UCMOC0104",5,,,생활용품,생활잡화
"곰곰 갈비탕, 600g, 5개",5,곰곰갈비탕 가격도 싼편인데 맛도 있네요!,"아이들이 갈비탕에 당면 넣어서 먹는걸 좋아해서
당면 따로 삶아서 넣어주면
정말 잘 먹어요!
누린내나 이상한 냄새 안나고
간도 딱 적당하고 맛있어요~
근데 고기가 연하진 않네요^^;
그래도 먹을만은 합니다~
5개샀는데 벌써 다먹어서
마지막 하나는 당면이랑 파로 양을 불려서
3명이서 나눠먹었어요.ㅋㅋ
암튼 가성비 좋음.
재구매의사 있습니다~^^",싱글라이프,반찬/간편조리식품
"러버랩 고무장갑 중, 크림퍼플, 중(M), 5개",5,색깔도 예쁘고 끼고 벗기 편하고 냄새도 안나요^^,"고무 장갑이 항상 촌시러운
핑크색인계 불만이었는데
이렇게 예쁜 보라색 장갑이 나와서
사용할 때나 싱크대에 걸려 있는
장갑을 볼 때 기분이 좋습니다^^

손이 여자치고 좀 큰 편인데 M사이즈 해도
손에 꽉 끼지 않고 편하게 잘맞아요.
사용하기 딱 좋은 사이즈 입니다.
안에 천도 아니면서 부드러운 고무재질이라
벗을 때 잘 벗겨지고,
물이 들어가면 말려야하는데
뒤집어 놓으면 금방 말라요~

다만 길이가 팔뚝에 반 조금 넘게 오는 길이라
김장용으로는 적당치 않을 듯 하고.
설거지 할 때 딱 좋습니다^^

아!처음 뜯었을 때 나는
역한 고무냄새도 거의 안납니다!",주방용품,주방잡화
"주니어스토리 [클릭곰맨투맨티(봄원단)] 주니어의류 10대패션, 아이보리, FREE",5,키135.몸무게 39키로 초등2 여아 편하게 맞아요^^,"딸아이가 아이보리 색깔 옷을 좋아하는데
이 옷이 캐릭터도 맘에들고 색도 맘에든데요^^
평소에 통통한 체형 때문에
맞는 옷 찾기가 힘들어서
옷 사이즈 때문에 아이도 저도 스트레스 받는데
이건 Free사이즈라 편하게 잘 맞네요!
안에 안감도 부드러운 기모라서
피부 촉감 예민한 아이도 거부감 없이 잘 입어요!
가격도 비싼편도 아니고
너무 만족합니다^^♡",출산/유아동,유아동패션
"삼양 불닭소스, 200g, 2개",5,,,식품,장/소스/드레싱/식초
"바람 릴리 원터치 휴지통 20L, 화이트, 1개",5,크기도 딱 원하는 크기고 가볍고 터치도 잘돼 쓰기편함.,"남편이 쓰레기통을 좀 싼걸 샀길래
첨엔 허접한 쓰레기통인 줄 알았어요.

근데 써보니까 뚜껑이 손가락으로
살짝만 누르면 잘 열리고 발로 밟는 거 보다
편한 거 같아요.

쓰레기봉투 20L 짜리 끼워서 쓰면
크지도 작지도 않게 딱 맞아서
쓰기 너무 좋습니다.
제가 원하던 크기에요ㅎㅎ

가끔 쓰레기통 냄새나고
더러워지면 씻어야하는데
쓰레기통이 가벼워서 좋네요.^^
또 흰색이라서 때 묻으면 잘 안지워질까봐
걱정했는데 물티슈로 닦으니 잘 닦이는 재질이에요.
다행~

14280에 이런 좋은 쓰레기통을 사다니
남편 칭찬해줘야겠어요ㅋㅋ",생활용품,세탁/청소용품
"남도 깐마늘, 500g, 1개",5,진짜 국내산 마늘 같네요! 오돌오돌 싱싱하고 맛있어요.,"마늘이 잘 못 사면 국내산이라고 해도
마늘에서 쉰내나고 크기도 뻥튀기한듯이
속이 좀 가벼운 느낌에 큰 마늘들이 있는데.

이건 완전 국내산 마늘이네요!
이상한 냄새도 안나고
알도 작으면서 마늘 하나하나 알찬느낌.
상한 부분도 거의 없고 곰팡이 핀건 아예 없어요.

이런 마늘은 빻아서 국에 넣어도 맛있고
들기름에 구워서 죽염에 찍어 먹어도 맛있어요~

아이들 감기땜에 마늘 구워주려고 샀는데
정말 잘먹네요^^",식품,채소
"프레샤인 GAP인증 사과 소과, 1kg(6입 내), 1봉",4,사과쥬스 해먹으려고 샀는데 그냥 먹어도 맛있네요^^,"사과 크기는 큰편이 아니지만
보통보다 조금 작은 크기의 단단한 사과에요.
과육이 푸석하지 않고 아삭한 식감이고.
생각보다 달아서 그냥 먹어도 맛있더라구요!
적당히 새콤만 맛도 있어서 제가 좋아하는
스타일의 사과입니다^^

참고용으로 제가 아침마다 갈아먹는
맛있게 사과 먹는법 알려 드릴게요~^^

사과 1개+마 50g+참깨1T+요구르트 3개

넣고 같이 갈아드시면
매일 먹고싶은 사과쥬스 완성!

과일 안먹는 남편도 이 쥬스는 잘 먹어요!

몸에 좋은 사과 많이 드세요♡",식품,과일
"까사재클린 미끄럼 방지 투명 의자 발 커버 16p, 그레이, S, 16개",5,작지만 효과대박이네요! 깔끔하고 끄는 소리 전혀안남,"첨엔 너무 작아서 머야 끼워지려나?
하고 걱정했는데
씌우는 부분이 고무처럼 늘어나서
쉽게 끼울 수 있었어요!
인테리어를 헤치지 않을 디자인에.
무엇보다 의자끄는 소리가 안나는 효과가 대박이에요.
다른 양말커버는2개나 씌워도 소리가 나서
스트레스 받았었는데
이건 진짜 씌워놓으면 아무리 끌어도 소리 안나요!
가격도 싸고 아주 만족합니다!!",결혼준비,인테리어/소품
"딜리조이 무항생제인증 특란 60구, 1개",5,계란 신선하고 맛있어요.,"계란으로 잔치국수에 고명만들었어요.
노른자가 탱탱하고 흰자도 흐물거리지않고
먼가 살아있는 느낌.
신선함이 느껴집니다^^",식품,곤약/방탄커피 외
"[아자브키즈] 레인보우 머리띠, one size, 무지개",5,예쁘고 편한 머리띠^^ 무지개 좋아하는 아이라면 추천!,"사진이랑 똑같아요.
너무 예뻐요!
다른 머리띠는 아이가 착용했을 때
귀 뒤에 아프다고 하는 것도 있는데
이건 뭔가 부드러운 느낌이라 안 아프고 편하데요~

사진이랑 실제랑 다르면 어떡하나 걱정했는데
색도 너무 예쁘고♡
사진이랑 똑같아서 아이도 너무 맘에 든데요!
최고최고♡",출산/유아동,유아동패션
"건화 1+ 한우 국거리용 세절 (냉장), 300g, 1개",5,,,식품,축산/계란
"[미미월드] 비밀 단어로 열리는 비밀일기장, 265cm, 혼합색상",5,딸 생일 선물로 최고!,"생일 선물로 줬더니 너무 좋아하네요!
비밀단어를 말하면 열린다는게 좋나봐요~
벌써 비밀일기 하나 써놨다며, 일기쓰는 거 싫어하는 아이한테 선물해줘도 좋을 거 같아요^^
포장도 있어보이고, 허접하지 않아서 생일 선물로 딱 입니다!^^",완구/취미,역할놀이
"완도소안농협 완도미역, 90g, 2개",5,,,헬스/건강식품,곤약/방탄커피 외
"퍼즈생활건강 아티스트 드로잉 전문가용 틴케이스 색연필, 24색, 1개",5,색감도 예쁘고 색칠도 잘됩니다!,"초등학교 다니는 첫째가 그림그리기 좋아해서 사줬는데 색칠도 잘되고 색연필이 삼각형 모양이라 손에 쥐기도 편해요~ 손에 잡는 부분은 오돌도돌하게 미끄럼방지 기능도 있구요^^
색연필 끝부분은 무슨 색인지 색으로 표시도 되어 있어 아이들이 색도 쉽게 찾아쓸 수 있어 좋습니다.
여러모로 신경을 많이쓴 제품이라고 생각이듭니다~
싸구려 색연필 어떤건 종이에 잘 색칠이 안되는 것도 있는데 이건 발림성?이 아주 좋아서 색칠할 때 기분이 좋아요.
잘쓰겠습니다^^",완구/취미,STEAM완구
"청훈메디 ENT 핀셋, 1개",4,애기 귀지 팔 때 유용하네요! 가격 싼데 괜찮아요,"싸면 이거 끝 마감처리나 안전적인면에서 좀 떨어질까봐 더 비싼 집게랑 고민하다가 그냥 상품평 괜찮길래 사봤어요.
끝이 보기에는 매끈해보이는데 손으로 만져보니 날카로운 부분이 만져져서 집에 아무대나 보이는 쇠 부분(전 침대 나사에ㅋ)에 대고 조금 갈았더니 매끈해졌어요.
그동안 6살 아이 귀 팔 때마다 안쪽에 있는 큰 귓밥이 항상 맘에 걸렸었는데 드디어 꺼냈네요!!
진짜 절대 움직이면 안돼! 하고 주의를 단단히 주고 사용하셔야 합니다. 바늘처럼 뾰족한 건 아니지만 아이들의 약한 귀점막은 쉽게 다치니까요~
암튼 10년묵은 체증이 내려간 듯한 기분! 당분간 아이 귀 팔때마다 맘이 후련하겠어요ㅎㅎㅎ",헬스/건강식품,건강/의료용품
"캠핑 & 탕후루 다용도 대나무 꼬지 지퍼백형, 1개, 200개입",5,제대로된 탕후루 만들고 싶다면 이 탕후루꼬치가 필요함,"일단 길이가 딱 파는 탕후루 꼬치 길이구요, 튼튼해요.
까슬거리는 부분없어서 나무가시 손에 찔릴 위험도 없을 거 같아 다행이에요. 아이들도 같이 산타 탕후루 만들어봤는데
아이들도 쉽게 꽂고 잘 만드네요~ 끝이 많이 뾰족하지도 않고 많이 뭉툭하지도 않고 적당히 뾰족^^
이 탕후루용 꼬치가 있어서 제대로 만들 수 있었어요~
감사합니다^^",주방용품,일회용품/종이컵
"곰곰 국내산 흙당근, 1kg, 1개",4,"크기도 크고, 흠집도 없고 당근이 단단하고 싱싱해요!","껍질 벗겨놓고 파는 중국산 당근이랑 국내산 흙당근은 확실히 맛의 차이가 있더라구요!
가격도 착하고, 싱싱하고, 마트에서 장봐서 들고오려면 무거운데 로켓프레시로 편하게 받아 볼 수 있어 너무 좋습니다!^^
카레해먹었는데 맛있네요~당근이 많이 볶을 수록 맛있습니다^^",헬스/건강식품,곤약/방탄커피 외
"서울우유 비요뜨 크런치볼 요거트, 138g, 12개",5,비요뜨 크런치볼도 맛있네요!아침마다 식사대용으로 굳~,"다른 요거트 제품들이 많지만
그중에서도 비요뜨를 가장 사랑하는 1인입니다.
비요뜨는 요거트 자체가 느끼하지 않고,
토핑 없이도 거부감 없이 남아있는 요거트를
먹을 수 있는 유일한 요거트 제품 입니다.
따른 것들은 아이들이 토핑 다 골라 먹고
요거트가 남으면 안먹는데 비요뜨는 싹싹 긁어먹어요^^
팝핑초코랑 초코링만 시켜먹다가 지겨워서 크런치볼도 시켜먹어봤는데 엄청 바작바작하고 적당히 달고 맛있네요!
비요뜨 짱♡",싱글라이프,샐러드/시리얼
"돌 바나나, 1.2kg, 1개",4,,,식품,과일
"에스트라 아토베리어365 하이드로 에센스, 150ml, 1개",5,,,뷰티,스킨케어
"감동란, 15구, 1개",5,,,식품,축산/계란
"[정품] 인산가 인산죽염 9회죽염 분말(미세가루) 1kg, 1개",5,건강에 좋고 구운 계란 맛에 입자가 엄청 고와요.,"500g짜리만 사먹다가
금방 다 먹고 써버려서
이번에 1kg짜리를 사보았어요!
보관이 잘 안될까봐 걱정했는데
500g병에 덜어 쓰니까 괜찮네요~
다른 싼 죽염 사서 써보기도 했는데
효과가 훨씬 못 미치고
맛도 더 짜고 입자도 거칠어서 못쓰겠더라구요ㅠ
그래서 비싸지만 다시 인산죽염으로 돌아왔어요.

♡죽염의 효능: 대표적인 죽염의 효능으로는 해독 효과가 뛰어나며, 면연력을 높여주는 것이 있다. 죽염은 오장육부를 튼튼하게 하며 피를 맑게 해주고 한독과 열독을 다스린다. 이외에도 눈병, 피부질환, 잇몸질환, 탈모, 목감기(가래) 등에도 효과적이라는 연구 결과가 있다.

양치할 때 쓰면 치주염, 잇몸 염증에 도움이 된다.

저도 진짜 이가 시리거나 단거 많이 먹고 이가 좀 아프다는 생각이 들면 무조건 아픈 치아와 잇몸 주변을 죽염으로 문지르고 헹궈내요~2~3일만 해주면 통증이 신기하게도 사라져요!

치질이나 무좀에는 환부를 생활죽염수에 30분 정도 담가주는 것도 도움이 된다.

전 가끔 피부에 트러블이 났을 때도 죽염을 묻혀주면 가라앉더라구요~염증에 효과가 있는거 같아요!

죽염이 정말 만병통치약이에요 !
이렇게 말하니 약장사 같은데
내돈내산 정말 꾸준히 사용해보고
올리는 솔직후기입니다!^^",식품,곤약/방탄커피 외
"[당일출고]산리오보온병 산리오물통 산리오텀블러 산리오물병 400ml, 시나모롤, 시나모롤",5,너무 만족하면서 쓰고있는 예쁜 물통!,"초딩2학년 학교 가져다니는 물통으로 사용하려고 샀는데 물 샌적도 없고, 보온기능도 꽤 잘됩니다^^ 디자인도 예쁘고 색감도 사진이랑 똑같아요! 물이 콸콸 안나오게 기능이 되어 있고 뚜껑 여는 버튼도 뻑뻑하지 않고 잘 눌러지고 잘 열립니다. 둘째도 언니랑 똑같은거 사달라고 그러네요ㅠㅠ",홈카페,컵/잔/텀블러
"유니우 초등 남아용 [봄 가을 특양면] 핸즈2 맨투맨 티셔츠, 화이트, 13호 [XL]",5,,,출산/유아동,유아동패션
"곰곰 신선한 우유, 2.3L, 1개",3,,,식품,생수/음료
"주니어 어린이 캐릭터 잠옷 긴팔 라운드넥 홈웨어, 핑크여아, 14:권장120-130cm",5,,,남성패션,속옷/잠옷
"2080 모노클 프리미엄 칫솔 세트, 6개입, 1세트",5,,,생활용품,구강/면도
"니코 미니 초코 크리스피 오트밀 미니바이트 대용량 과자 간식 x 70봉, 1개",5,첨 먹어봤는데 많이 안달고 맛있네요!,초콜렛만 있는게 아니라 오트밀같은 거에 초콜릿을 발라 굳힌거라 뭔가 담백한듯 한 달콤함이에요! 너무 달기만한 디저트는 싫어하는데 이건 딱 제 스타일. 한번 먹기시작하면 멈출 수가없어요ㅠㅠ7개는 기본으로 먹어서 애들 줄려고 샀는데 일주일도 안되서 제가 다 먹어버렸어요ㅋㅋㅋ,식품,과자/초콜릿/시리얼
"케라시스 고기능 극손상케어 트리트먼트, 300ml, 3개",5,,"케라시스 트리트먼트를 하고 안하고 머릿결이 확실히 차이가 납니다. 따른 거 잠깐 써봤는데 이 케라시스 트리트먼트보다 못해서 다시 돌아왔어요.
무엇보다 향도 너무 좋아서 이걸로 머리 감고나면 기분이 좋아요^^
이 트리트먼트 쓰면 아이들도 엄마 머리냄새 좋아하면서 계속 냄새 맡아요ㅋㅋ 소량을 써도 머리결을 훨씬 부드럽게 해줘요~
좋은 제품 꾸준히 만들어주세요!^^",생활용품,헤어
"청정원 직화파기름 굴소스, 465g, 1개",5,,,식품,장/소스/드레싱/식초
"곰표 바사삭 와플믹스, 1kg, 1개",2,,,식품,가루/조미료/오일
"곰곰 신선한 우유, 2.3L, 1개",3,,,식품,유제품/아이스크림
"딜리조이 무항생제인증 특란 60구, 1개",4,,,식품,곤약/방탄커피 외
"록시부띠끄 앞 후크 가슴 모아주는 심리스 노와이어 볼륨 브라, M, 베이지",2,,,여성패션,속옷/잠옷
"네이쳐리빙 모노블 가방걸이 정리대 8칸, 1개",4,,,결혼준비,인테리어/소품
"이퓨쳐Smart Phonics 4 StudentBook + WorkBook 세트, 이퓨쳐",5,,,싱글라이프,즉석식품/라면
"돌 바나나, 1.2kg, 1개",4,,,식품,과일
"여아동 울트라밍크 상하세트 파자마 잠옷, XL, 메리햄쥬",5,키135 몸무게 39. 배 통통 여아. XL 딱 좋아요,"키135 몸무게 39. 배 가 좀 통통한 편이라
아무 옷이나 못입어요.

근데 이건 허리밴드 부분이
많이 조이지 않고 편하데요.

촉감도 예민해서 입어보고
그 옷 입을 지 결정하는 아이인데
촉감 면에서도 합격!♡

적당한 두께의 기모재질이라
열많은 아이에게 적당한 보온성과
아이가 좋아하는 디자인으로
저희 아이의 최애 잠옷으로 등극했어요.

요즘 이 잠옷만 입고 자서
세탁기랑 건조기에 자주 돌렸는데도
줄어들거나 늘어나는거 없이
자꾸 빠니까 색만 조금 연해졌어요ㅎㅎ

암튼 넘 만족! 좋은 상품 감사합니다♡",출산/유아동,유아동패션
