상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2
"업클라스 남성용 기모 본딩 마일드 청바지 c052, 30, 다크 인디고",4,다크인디고 색이랑 조금 달라요.,"진청느낌인줄 알고 구매한건데,
물빠진 블랙진 느낌?
가격이 저렴하다보니 바느질이 몇군데 눈에 띄기도 하고요
색감 확인 하세요~",남성패션,의류
"엘라모 바캉스 반팔, M, 다크그레이",4,,,남성패션,의류
"청정원 고깃집 된장찌개 양념, 130g, 4개",5,,,식품,곤약/방탄커피 외
"까로망 딥 카라멜 토핑소스, 170g, 1개",5,,,홈카페,카페시럽
"펀나쵸 치즈 소스, 142g, 2개",5,❤ 2번째 구매 ❤,품절떠서 ㅠㅠ 했는데 풀리자마자 샀어요. 3번째 주문하고 후기씁니다.,식품,가루/조미료/오일
"벤힛 남녀공용 루나 세미 오버핏 특양면 맨투맨, L, 오트밀",5,,,남녀 공용 의류,맨투맨/후드티
"[위드기프트] 스마일 호피 사각 헤어끈 5개세트+롱목걸이 증정, 1set",4,❤ 편하고 간단하게 손가는대로 쓰기 좋아요 ❤,"▶️ 가격 : 4790 원

▶️ 구매일: 12월 11일 금요일

▶️ 배송일: 12월 15일 화요일
같은날 주문한 물건들은 12일 토요일에 왔는데
이것만 월요일을 넘어 화요일에 왔네요.

▶️ 손목에 걸어두고 손가는대로 쓰기 좋아요. 겨울엔 정전기니 뭐니 건조한 상태인데다가 머리가 답답해서 묶으면 추워서 또 푸르고 반복하다보니 여름에 잘쓰던 집게핀보다는 고무줄을 선호하고 있어요. 그렇다고 다이소에서 샀는 비닐 고무줄 쓰기는 머리도 자꾸 엉키고 안풀릴때가 있어 스트레스 받아서 손목에 달고다닐만한 과하지 않은 방울 머리끈 찾다가 구매했어요

▶️ 방울의 크기는 더 큰 호피 알이 제 엄지손톱만 하고요, 스마일은 그보다 좀 더 작습니다. 하나의 거미줄을 비즈알에 꿰어서 묶어 고정해놓은 형태구요, 쓰다보면 늘어나기야 하겠지만 한두번만에 늘어나고 벗겨지는 싸구려 고무줄은 아닌것 같아 잘 쓸 것 같네요

⚠️ 손목에 찬지 두시간? 여 만에 저렇게 쉽게 기스가 났어요. 호피도 스마일도 칠이 조금씩 벗겨지네요. 크게 눈에 띄는 정도는 아니지만 예민한분들은 조심하세요.",여성패션,가방/잡화
"챠챠 해바라기씨 양념맛, 260g, 3개",5,티비볼때 열심히 까먹어요ㅋ,"심심할때 까는 재미에 푹빠졌어요
먹는재미 보다는 까는재미~~
하나씩 까서 집어먹다가 감질나서
해바라기씨 내용물은 종이컵에 모았다가
한입에 털어넣었더니 그건 또 맛이 덜해요~
서너개씩 까서 한입에 톡 한입에 똑
싸는 그 맛이 재밌습니다~
직장에 한봉지 가져갔는데
향신료냄새땜에 호불호가 갈리긴 하더라구요~
전 극호 입니다 ㅋㅋ",식품,견과/건과
"ISFI 파슬리 12g, 1개",3,떨어지면 아쉬운 요리 잇템,"저렴한 가격에 잘 샀어요
없으면 아쉬운 주방 아이템이라서
떨어지지않게 하고 있어요~
.
근데 배송중에 그런거겠지만
입구가 다 깨져서 왔어요
그냥 테이프 붙여 쓰는데
많이 아쉽네요.",식품,가루/조미료/오일
"참그린식품 빨간양파즙 자색양파 120팩, 100ml",4,,"부드럽고 먹을 만 해요
배송상태가 불량해서 교환할까 했는데
그냥 먹겠습니다",식품,곤약/방탄커피 외
"웰킵스 황사방역마스크 대형 KF94, 25개입, 1개, 백색",4,,"광클과 무한 새고로 성공했네요
한달? 전에 다른마스크
개당 1400원꼴로 100개 사놨는데
금세 가격이 떨어지고 그러네요.
그래도 불안하니 또 삽니다 ㅠ",헬스/건강식품,건강/의료용품
"패션장화 레인부츠 미들장화 남성여성발목장화 남자여자공용, 255, 블랙",5,장화 치고 편하고 가격이 저렴해서 좋아요,,여성패션,신발
"[유통기한임박] 순수당 말랑말랑 쑥인절미 18gX60알 /09-14, 60개, 18g",4,달달하니 주전부리 하기 좋아요. 식사로는 아쉬워요.,한입사이즈에 먹기 좋고 달달하니 주전부리 하기 좋아요. 근데 포장된 비닐에서 냄새가 많이 나요. 비닐냄새가 떡에 배어서 첫입 먹고 좀 놀랐네요. 재구매는 좀 어려울것 같네요.,식품,과자/초콜릿/시리얼
"바코 믹스 6입 셔틀콕 깃털 3p + 나일론 3p, 6개입, 1개",4,연습할때 쓰기 괜찮아요,"초보 연습할때 쓰기 좋아요
이것저것 바꿔가며 치고 있어요",스포츠/레저,라켓스포츠
"토니모리 원더 티트리 모공산뜻 토너, 500ml, 1개",5,닦토로 쓰기좋음. 스킨팩은 의미없음,"양도많고 향도 강하지 않아 닦토로 쓰기 좋아요
영양은 크게 기대하면 안되고 닦토 딱 그정도에요",뷰티,스킨케어
"샤워메이트 클린코튼 바디워시 목화솜향, 1.2kg, 1개",5,,,뷰티,바디
"아디다스 볼루믹스 CP9446 남녀공용 슬리퍼 실내화, 블랙, 255",4,,,홈인테리어,F/W 침구샵
"정원삼 6년근 고려홍삼정 365 스틱 30포 + 쇼핑백, 300g, 1세트",2,,,식품,선물세트관
"애니휴먼 희망나비팔찌 팔찌, 작은팔찌13.5~24cm",5,,,여성패션,가방/잡화
